"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @wirereporter: ""Never have I seen the almost total disconnection we've seen here (...) between what the science requires and the people…",FALSE,0,NA,2019-12-15 08:02:59,FALSE,NA,"1206122466134962176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","duse70",1378,TRUE,FALSE,NA,NA
"RT @TrenchantTroll: Dear people of Earth:

1. The climate changes and has every day for 4.5 billion years.
2. Despite our hubris, mankind h…",FALSE,0,NA,2019-12-15 08:02:58,FALSE,NA,"1206122461575692288",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Loofah57060",3,TRUE,FALSE,NA,NA
"RT @EdwardJDavey: Whilst Labour squabbles, the Lib Dems will hold Johnson to account 

We will continue to ensure the voice of remainers is…",FALSE,0,NA,2019-12-15 08:02:58,FALSE,NA,"1206122461244338176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Challengeitnow",184,TRUE,FALSE,NA,NA
"RT @readfearn: Exclusive from me - Australia's bushfires have emitted 250m tonnes of CO2, almost half of country's annual emissions #climat…",FALSE,0,NA,2019-12-15 08:02:57,FALSE,NA,"1206122459746820096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jimmymalecki",518,TRUE,FALSE,NA,NA
"@mrjamesmack Splitting the Department for Energy and Climate Change? DECC doesn't exist anymore?",FALSE,0,"mrjamesmack",2019-12-15 08:02:57,FALSE,"1205987253950046208","1206122458631344128","59741138","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","c_addison",0,FALSE,FALSE,NA,NA
"RT @drwaheeduddin: Law and order must be upheld and Green activists supported by UN socialist bureaucrats must not be allowed to disrupt th…",FALSE,0,NA,2019-12-15 08:02:57,FALSE,NA,"1206122458559827969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sportsandpolit4",38,TRUE,FALSE,NA,NA
"RT @business: Scientists misunderstood how badly the rest of the world misunderstood the climate problem (via @bopinion) https://t.co/Qc5to…",FALSE,0,NA,2019-12-15 08:02:57,FALSE,NA,"1206122458358538242",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GutznGlory",128,TRUE,FALSE,NA,NA
"RT @EcoInternetDrGB: Climate change: UN talks in Madrid hit rough #waters: Science &amp; Environment - BBC News https://t.co/73Gpe3SOon

MORE w…",FALSE,0,NA,2019-12-15 08:02:56,FALSE,NA,"1206122454554427393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ss51202463",1,TRUE,FALSE,NA,NA
"Warmists claim: ‘The US Is Once Again The Villain At The UN Climate Summit’ – Claim USA is trying ‘to ensure it wil… https://t.co/PYSZ7atlyV",FALSE,0,NA,2019-12-15 08:02:55,TRUE,NA,"1206122451408769025",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fl85",0,FALSE,FALSE,NA,NA
"RT @narakxm: @PeteButtigieg, you CANNOT belittle me.

“Rethink my strategy”? How about you RETHINK YOUR CLIMATE PLAN.

WE DESERVE BETTER.",FALSE,0,NA,2019-12-15 08:02:55,FALSE,NA,"1206122450968145921",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LisaNaArtStudio",14,TRUE,FALSE,NA,NA
"RT @jxckieherrx: We need to protect the earth more ): fuck climate change <U+0001F614> https://t.co/mH47OKbVs1",FALSE,0,NA,2019-12-15 08:02:54,FALSE,NA,"1206122447675768833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uvaa_aleejandra",239,TRUE,FALSE,NA,NA
"RT @Reuters: ICYMI: Alaskan glaciers are melting at record or near-record levels as 2019 is likely to be the state’s hottest year on record…",FALSE,0,NA,2019-12-15 08:02:54,FALSE,NA,"1206122445247115264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hamdanadnan8",18,TRUE,FALSE,NA,NA
"RT @DanaPerino: Whar really bothers me about celebrities trying to get arrested at climate change protests is that they make it look fun &amp;…",FALSE,0,NA,2019-12-15 08:02:53,FALSE,NA,"1206122443133378560",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pursegirl47",1088,TRUE,FALSE,NA,NA
"RT @ClimateBen: Crop and livestock production may have to be abandoned in parts of Europe’s southern &amp; Mediterranean regions:

'yields of n…",FALSE,0,NA,2019-12-15 08:02:53,FALSE,NA,"1206122442021838848",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","e_rawlins",9,TRUE,FALSE,NA,NA
"RT @LilNasX: when i said “i got the horses in the back” it was in reference to reversing the ongoing climate change, water pollution, and c…",FALSE,0,NA,2019-12-15 08:02:53,FALSE,NA,"1206122440100696065",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sireturd",127436,TRUE,FALSE,NA,NA
"RT @itsmeejbee: He takes advice from hundreds of renowned climate scientists unlike you who take advice from Richard the doomsday flog http…",FALSE,0,NA,2019-12-15 08:02:51,FALSE,NA,"1206122434312589312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Johnwr69",3,TRUE,FALSE,NA,NA
"RT @stevel3000: @JamesFallows @jonfavs @jayrosen_nyu “Climate scientists, Gohmert diverge on global warming.”",FALSE,0,NA,2019-12-15 08:02:51,FALSE,NA,"1206122433133965313",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PimpsParadise",1,TRUE,FALSE,NA,NA
"RT @jeremycorbyn: I am proud that on austerity, corporate power, inequality and the climate emergency we have won the arguments and rewritt…",FALSE,0,NA,2019-12-15 08:02:50,FALSE,NA,"1206122430147809280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Maximilien1917",3773,TRUE,FALSE,NA,NA
"RT @MikeHudema: Germany built the world's first hydrogen-powered train. It emits nothing but water and steam! 

We have solutions to the #c…",FALSE,0,NA,2019-12-15 08:02:50,FALSE,NA,"1206122429489328128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JohannShiel",501,TRUE,FALSE,NA,NA
"RT @robbystarbuck: This is what climate protestors in the Netherlands are doing. I’m convinced these people were drama kids in school but s…",FALSE,0,NA,2019-12-15 08:02:50,FALSE,NA,"1206122429321535490",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArcticRational",815,TRUE,FALSE,NA,NA
"RT @jeremycorbyn: I am proud that on austerity, corporate power, inequality and the climate emergency we have won the arguments and rewritt…",FALSE,0,NA,2019-12-15 08:02:49,FALSE,NA,"1206122426775396353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","vineethjose",3773,TRUE,FALSE,NA,NA
"RT @RepMaxineWaters: Melania, we agree. Children are off limits. Tell your husband to #bebest and go enroll himself in anger management ins…",FALSE,0,NA,2019-12-15 08:02:48,FALSE,NA,"1206122421020835840",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","scubett1",34073,TRUE,FALSE,NA,NA
"RT @jeremycorbyn: I am proud that on austerity, corporate power, inequality and the climate emergency we have won the arguments and rewritt…",FALSE,0,NA,2019-12-15 08:02:46,FALSE,NA,"1206122414486237185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patriciamunabi",3773,TRUE,FALSE,NA,NA
"RT @dwnews: Inspired by Greta Thunberg, 16-year-old Howey Ou launched a #FridaysforFuture protest in China, becoming the country's first cl…",FALSE,0,NA,2019-12-15 08:02:46,FALSE,NA,"1206122410879012865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mypetsgarden4",66,TRUE,FALSE,NA,NA
"RT @AOC: By pulling out of the Paris Agreement, Trump gave up his seat at the table for global climate negotiations a long time ago.

He’s…",FALSE,0,NA,2019-12-15 08:02:44,FALSE,NA,"1206122406173192192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DeaneBanning",4921,TRUE,FALSE,NA,NA
"RT @romyreiner: It’s weird that Americans can’t agree on the fact that climate change is a scientific, real thing. It’s weird Americans can…",FALSE,0,NA,2019-12-15 08:02:44,FALSE,NA,"1206122403518177280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TiffanyNLeonard",43,TRUE,FALSE,NA,NA
"RT @AJEnglish: In Niger, the equivalent of more than 110,000 football fields of grassland disappear every year. 

Now, the Fulani nomads fe…",FALSE,0,NA,2019-12-15 08:02:43,FALSE,NA,"1206122399508422662",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pigreen1",138,TRUE,FALSE,NA,NA
"RT @ABC: Former Pres. Barack Obama says the Paris Agreement on climate change may fall short of expectations but is still the way forward t…",FALSE,0,NA,2019-12-15 08:02:42,FALSE,NA,"1206122394810642432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ImpactDemocracy",44,TRUE,FALSE,NA,NA
"RT @joshuawongcf: [Climate change &amp; HK - China is reacting similarly to both]

1/ @GretaThunberg was named #TIMEPOY by the @TIME. She's a S…",FALSE,0,NA,2019-12-15 08:02:41,FALSE,NA,"1206122390314307586",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wangoi12345",79,TRUE,FALSE,NA,NA
"Wealthy nations just dont care

'If the climate stays like this, we won't make it' say those on the frontline of Af… https://t.co/Sp44HyZYwR",FALSE,0,NA,2019-12-15 08:02:40,TRUE,NA,"1206122387470721024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ernie38526651",0,FALSE,FALSE,NA,NA
"RT @Reuters: ICYMI: Alaskan glaciers are melting at record or near-record levels as 2019 is likely to be the state’s hottest year on record…",FALSE,0,NA,2019-12-15 08:02:40,FALSE,NA,"1206122386560602112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bigcanadiano",18,TRUE,FALSE,NA,NA
"RT @Reuters: ICYMI: Alaskan glaciers are melting at record or near-record levels as 2019 is likely to be the state’s hottest year on record…",FALSE,0,NA,2019-12-15 08:02:39,FALSE,NA,"1206122382999425025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xtianmcintire02",18,TRUE,FALSE,NA,NA
"RT @MikeHudema: Germany built the world's first hydrogen-powered train. It emits nothing but water and steam! 

We have solutions to the #c…",FALSE,0,NA,2019-12-15 08:02:38,FALSE,NA,"1206122380126511105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","likeitsays",501,TRUE,FALSE,NA,NA
